As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"May 07, 2014",471.30,63.08,--,"12,112,500.00"
"May 06, 2014",471.46,63.11,--,"12,112,500.00"
"May 05, 2014",470.91,63.03,--,"12,112,500.00"
"May 02, 2014",471.72,63.14,--,"12,112,500.00"
"May 01, 2014",471.97,63.18,--,"12,112,500.00"
"Apr 30, 2014",471.97,63.18,--,"12,112,500.00"
"Apr 29, 2014",470.03,62.92,--,"12,112,500.00"
"Apr 28, 2014",466.95,62.51,--,"12,112,500.00"
"Apr 25, 2014",467.58,62.60,--,"12,112,500.00"
"Apr 24, 2014",469.10,62.80,--,"12,112,500.00"
"Apr 23, 2014",470.28,62.96,--,"12,112,500.00"
"Apr 22, 2014",469.77,62.89,--,"12,112,500.00"
"Apr 21, 2014",471.56,63.13,--,"12,112,500.00"
"Apr 17, 2014",470.31,62.97,--,"12,112,500.00"
"Apr 16, 2014",468.69,62.75,--,"12,112,500.00"
"Apr 15, 2014",470.25,62.96,--,"12,112,500.00"
"Apr 14, 2014",468.75,62.76,--,"12,112,500.00"
"Apr 11, 2014",471.02,63.07,--,"12,112,500.00"
"Apr 10, 2014",474.81,63.58,--,"12,112,500.00"
"Apr 09, 2014",472.66,63.29,--,"12,112,500.00"
"Apr 08, 2014",469.55,62.87,--,"12,112,500.00"
"Apr 07, 2014",467.68,62.62,--,"12,112,500.00"
"Apr 04, 2014",463.44,62.06,--,"12,112,500.00"
"Apr 03, 2014",464.66,62.22,--,"12,112,500.00"
"Apr 02, 2014",466.14,62.42,--,"12,112,500.00"
"Apr 01, 2014",466.29,62.44,--,"12,112,500.00"
"Mar 31, 2014",466.33,62.45,--,"12,187,500.00"
"Mar 28, 2014",465.30,62.31,--,"12,187,500.00"
"Mar 27, 2014",460.73,61.70,--,"12,187,500.00"
"Mar 26, 2014",458.07,61.35,--,"12,187,500.00"
"Mar 25, 2014",456.85,61.19,--,"12,187,500.00"
"Mar 24, 2014",456.72,61.17,--,"12,187,500.00"
"Mar 21, 2014",451.94,60.53,--,"12,187,500.00"
"Mar 20, 2014",452.74,60.64,--,"12,187,500.00"
"Mar 19, 2014",455.37,61.00,--,"12,187,500.00"
"Mar 18, 2014",456.66,61.17,--,"12,187,500.00"
"Mar 17, 2014",454.79,60.92,--,"12,187,500.00"
"Mar 14, 2014",451.97,60.54,--,"12,187,500.00"
"Mar 13, 2014",456.37,61.13,--,"12,487,500.00"
"Mar 12, 2014",454.52,60.89,--,"12,487,500.00"
"Mar 11, 2014",458.32,61.40,--,"12,637,500.00"
"Mar 10, 2014",456.47,61.15,--,"12,637,500.00"
"Mar 07, 2014",462.60,61.97,--,"12,750,000.00"
"Mar 06, 2014",463.19,62.05,--,"12,750,000.00"
"Mar 05, 2014",459.23,61.52,--,"12,750,000.00"
"Mar 04, 2014",458.02,61.36,--,"12,750,000.00"
"Mar 03, 2014",456.54,61.17,--,"12,750,000.00"
"Feb 28, 2014",460.03,61.63,--,"12,750,000.00"
"Feb 27, 2014",458.08,61.37,--,"12,750,000.00"
"Feb 26, 2014",456.76,61.20,--,"12,750,000.00"
