As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"May 17, 2001",80.07,16.69,--,"4,350,007.50"
"May 16, 2001",79.89,16.65,--,"4,350,007.50"
"May 15, 2001",79.46,16.56,--,"4,350,007.50"
"May 14, 2001",80.44,16.76,--,"4,350,007.50"
"May 11, 2001",81.27,16.94,--,"4,350,007.50"
"May 10, 2001",81.61,17.02,--,"4,350,007.50"
"May 09, 2001",81.37,16.97,--,"4,350,007.50"
"May 08, 2001",80.88,16.88,--,"4,350,007.50"
"May 07, 2001",81.76,17.05,--,"4,350,007.50"
"May 04, 2001",81.76,17.05,--,"4,350,007.50"
"May 03, 2001",86.46,18.05,--,"4,350,007.50"
"May 02, 2001",87.25,18.21,--,"4,350,007.50"
"May 01, 2001",83.03,17.33,--,"4,350,007.50"
"Apr 30, 2001",83.03,17.33,--,"4,350,007.50"
"Apr 27, 2001",83.27,17.39,--,"4,350,007.50"
"Apr 26, 2001",82.04,17.14,--,"4,350,007.50"
"Apr 25, 2001",81.01,16.92,--,"4,462,507.50"
"Apr 24, 2001",80.92,16.90,--,"4,462,507.50"
"Apr 23, 2001",81.03,16.92,--,"4,462,507.50"
"Apr 20, 2001",81.33,16.99,--,"4,462,507.50"
"Apr 19, 2001",80.16,16.74,--,"4,462,507.50"
"Apr 18, 2001",79.87,16.69,--,"4,668,757.50"
"Apr 17, 2001",80.72,16.87,--,"4,668,757.50"
"Apr 16, 2001",81.88,17.12,--,"4,668,757.50"
"Apr 12, 2001",79.81,16.68,--,"4,668,757.50"
"Apr 11, 2001",80.36,16.80,--,"4,668,757.50"
"Apr 10, 2001",78.40,16.40,--,"4,743,757.50"
"Apr 09, 2001",77.90,16.29,--,"4,743,757.50"
"Apr 06, 2001",81.57,17.06,--,"4,743,757.50"
"Apr 05, 2001",83.35,17.46,--,"4,743,757.50"
"Apr 04, 2001",83.79,17.55,--,"4,743,757.50"
"Apr 03, 2001",89.85,18.84,--,"4,743,757.50"
"Apr 02, 2001",92.80,19.47,--,"4,368,757.50"
"Mar 30, 2001",92.44,19.39,--,"4,368,757.50"
"Mar 29, 2001",92.71,19.45,--,"4,368,757.50"
"Mar 28, 2001",94.04,19.72,--,"4,368,757.50"
"Mar 27, 2001",94.41,19.79,--,"4,368,757.50"
"Mar 26, 2001",95.28,19.99,--,"4,368,757.50"
"Mar 23, 2001",95.28,19.99,--,"4,387,507.50"
"Mar 22, 2001",95.58,20.05,--,"4,387,507.50"
"Mar 21, 2001",95.99,20.15,--,"4,387,507.50"
"Mar 20, 2001",93.51,19.62,--,"4,387,507.50"
"Mar 19, 2001",94.81,19.89,--,"4,387,507.50"
"Mar 16, 2001",95.69,20.08,--,"4,406,257.50"
"Mar 15, 2001",95.99,20.14,--,"4,406,257.50"
"Mar 14, 2001",97.11,20.37,--,"4,406,257.50"
"Mar 13, 2001",97.39,20.43,--,"4,406,257.50"
"Mar 12, 2001",98.45,20.66,--,"4,406,257.50"
"Mar 09, 2001",99.19,20.81,--,"4,406,257.50"
"Mar 08, 2001",99.34,20.84,--,"4,406,257.50"
"Mar 07, 2001",100.28,21.05,--,"4,406,257.50"
"Mar 06, 2001",100.89,21.18,--,"4,406,257.50"
"Mar 05, 2001",100.89,21.18,--,"4,406,257.50"
"Mar 02, 2001",100.52,21.10,--,"4,425,007.50"
"Mar 01, 2001",100.22,21.04,--,"4,425,007.50"
"Feb 28, 2001",101.32,21.28,--,"4,425,007.50"
"Feb 27, 2001",101.35,21.27,--,"4,425,007.50"
"Feb 26, 2001",101.25,21.26,--,"4,425,007.50"
"Feb 23, 2001",--,21.29,--,"4,425,007.50"
"Feb 22, 2001",101.78,21.36,--,"4,425,007.50"
"Feb 21, 2001",101.36,21.28,--,"4,425,007.50"
"Feb 20, 2001",101.76,21.38,--,"4,425,007.50"
"Feb 16, 2001",101.88,21.39,--,"4,425,007.50"
"Feb 15, 2001",101.38,21.28,--,"4,425,007.50"
"Feb 14, 2001",102.02,21.41,--,"4,425,007.50"
"Feb 13, 2001",102.52,21.52,--,"4,425,007.50"
"Feb 12, 2001",103.52,21.74,--,"4,425,007.50"
"Feb 09, 2001",103.27,21.69,--,"4,425,007.50"
"Feb 08, 2001",102.46,21.51,--,"4,425,007.50"
"Feb 07, 2001",103.86,21.81,--,"4,425,007.50"
"Feb 06, 2001",104.58,21.97,--,"4,425,007.50"
"Feb 05, 2001",104.44,21.94,--,"4,425,007.50"
"Feb 02, 2001",104.86,22.03,--,"4,425,007.50"
"Feb 01, 2001",103.71,21.78,--,"4,425,007.50"
"Jan 31, 2001",103.71,21.78,--,"4,425,007.50"
"Jan 30, 2001",102.45,21.51,--,"4,387,507.50"
"Jan 29, 2001",102.20,21.46,--,"4,387,507.50"
"Jan 26, 2001",101.79,21.37,--,"4,387,507.50"
"Jan 25, 2001",101.02,21.19,--,"4,387,507.50"
"Jan 24, 2001",101.02,21.19,--,"4,387,507.50"
"Jan 23, 2001",101.02,21.19,--,"4,387,507.50"
"Jan 22, 2001",101.02,21.19,--,"4,387,507.50"
"Jan 19, 2001",98.27,20.62,--,"4,387,507.50"
"Jan 18, 2001",96.72,20.31,--,"4,387,507.50"
"Jan 17, 2001",95.74,20.10,--,"4,387,507.50"
"Jan 16, 2001",95.76,20.10,--,"4,387,507.50"
"Jan 12, 2001",95.66,20.08,--,"4,387,507.50"
"Jan 11, 2001",95.34,20.01,--,"4,387,507.50"
"Jan 10, 2001",96.13,20.17,--,"4,387,507.50"
"Jan 09, 2001",95.15,19.97,--,"4,387,507.50"
"Jan 08, 2001",95.29,20.01,--,"4,387,507.50"
"Jan 05, 2001",94.56,19.85,--,"4,387,507.50"
"Jan 04, 2001",93.44,19.63,--,"4,387,507.50"
"Jan 03, 2001",92.44,19.42,--,"4,387,507.50"
"Jan 02, 2001",94.02,19.75,--,"4,387,507.50"
"Dec 29, 2000",96.08,20.17,--,"4,387,507.50"
"Dec 28, 2000",96.07,20.18,--,"4,387,507.50"
"Dec 27, 2000",96.07,20.18,--,"4,387,507.50"
"Dec 26, 2000",96.06,20.18,--,"4,387,507.50"
"Dec 22, 2000",98.06,20.60,--,"4,387,507.50"
"Dec 21, 2000",98.87,20.78,--,"4,387,507.50"
"Dec 20, 2000",99.46,20.91,0.06,"4,387,507.50"
"Dec 19, 2000",100.44,21.16,--,"4,387,507.50"
"Dec 18, 2000",100.67,21.21,--,"4,387,507.50"
"Dec 15, 2000",98.87,20.81,--,"4,387,507.50"
"Dec 14, 2000",100.41,21.13,--,"4,387,507.50"
"Dec 13, 2000",101.54,21.36,--,"4,387,507.50"
"Dec 12, 2000",102.41,21.55,--,"4,387,507.50"
"Dec 11, 2000",104.24,21.95,--,"4,350,007.50"
"Dec 08, 2000",103.87,21.87,--,"4,350,007.50"
"Dec 07, 2000",104.31,21.97,--,"4,350,007.50"
"Dec 06, 2000",105.03,22.13,--,"4,350,007.50"
"Dec 05, 2000",103.04,21.71,--,"4,350,007.50"
"Dec 04, 2000",102.21,21.54,--,"4,350,007.50"
"Dec 01, 2000",102.42,21.59,--,"4,350,007.50"
"Nov 30, 2000",103.35,21.80,--,"4,350,007.50"
"Nov 29, 2000",103.59,21.83,--,"4,350,007.50"
"Nov 28, 2000",104.39,21.98,--,"4,350,007.50"
"Nov 27, 2000",103.41,21.79,--,"4,350,007.50"
"Nov 24, 2000",101.04,21.29,--,"4,350,007.50"
"Nov 22, 2000",101.74,21.45,--,"4,350,007.50"
"Nov 21, 2000",102.78,21.67,--,"4,350,007.50"
"Nov 20, 2000",104.66,22.08,--,"4,350,007.50"
"Nov 17, 2000",103.91,21.91,--,"4,350,007.50"
"Nov 16, 2000",102.89,21.69,--,"4,350,007.50"
"Nov 15, 2000",104.02,21.94,--,"4,350,007.50"
"Nov 14, 2000",105.08,22.17,--,"4,350,007.50"
"Nov 13, 2000",103.81,21.90,--,"4,350,007.50"
"Nov 10, 2000",106.16,22.40,--,"4,350,007.50"
"Nov 09, 2000",106.27,22.43,--,"4,350,007.50"
"Nov 08, 2000",107.05,22.59,--,"4,350,007.50"
"Nov 07, 2000",107.93,22.78,--,"4,350,007.50"
"Nov 06, 2000",107.92,22.77,--,"4,256,257.50"
"Nov 03, 2000",107.02,22.58,--,"4,256,257.50"
"Nov 02, 2000",105.00,22.17,--,"4,162,507.50"
"Nov 01, 2000",106.34,22.48,--,"4,162,507.50"
"Oct 31, 2000",105.81,22.39,--,"4,162,507.50"
"Oct 30, 2000",108.50,22.97,--,"4,162,507.50"
"Oct 27, 2000",111.02,23.48,--,"4,162,507.50"
"Oct 26, 2000",111.93,23.66,--,"4,162,507.50"
"Oct 25, 2000",111.92,23.66,--,"4,162,507.50"
"Oct 24, 2000",110.66,23.39,--,"4,162,507.50"
"Oct 23, 2000",110.26,23.28,--,"4,162,507.50"
"Oct 20, 2000",109.62,23.17,--,"4,162,507.50"
"Oct 19, 2000",108.71,22.97,--,"4,162,507.50"
"Oct 18, 2000",108.40,22.89,--,"4,162,507.50"
"Oct 17, 2000",107.55,22.72,--,"4,162,507.50"
"Oct 16, 2000",107.58,22.73,--,"4,162,507.50"
"Oct 13, 2000",105.03,22.20,--,"4,162,507.50"
"Oct 12, 2000",103.10,21.81,--,"4,162,507.50"
"Oct 11, 2000",99.34,21.04,--,"4,162,507.50"
"Oct 10, 2000",99.19,21.01,--,"4,162,507.50"
"Oct 09, 2000",98.39,20.86,--,"4,162,507.50"
"Oct 06, 2000",98.82,20.95,--,"4,162,507.50"
"Oct 05, 2000",98.01,20.78,--,"4,162,507.50"
"Oct 04, 2000",98.28,20.85,--,"4,162,507.50"
"Oct 03, 2000",98.53,20.92,--,"4,162,507.50"
"Oct 02, 2000",97.64,20.74,--,"4,162,507.50"
"Sep 29, 2000",99.15,21.06,--,"4,162,507.50"
"Sep 28, 2000",100.26,21.30,--,"4,162,507.50"
"Sep 27, 2000",101.52,21.56,--,"4,162,507.50"
"Sep 26, 2000",102.80,21.84,--,"4,162,507.50"
"Sep 25, 2000",103.12,21.90,--,"4,162,507.50"
"Sep 22, 2000",103.35,21.95,--,"4,162,507.50"
"Sep 21, 2000",105.04,22.29,--,"4,162,507.50"
"Sep 20, 2000",105.26,22.33,--,"4,162,507.50"
"Sep 19, 2000",104.14,22.06,--,"4,162,507.50"
"Sep 18, 2000",104.16,22.07,--,"4,162,507.50"
"Sep 15, 2000",106.09,22.47,--,"4,162,507.50"
"Sep 14, 2000",105.48,22.34,--,"4,162,507.50"
"Sep 13, 2000",104.93,22.21,--,"4,162,507.50"
"Sep 12, 2000",102.86,21.76,--,"4,162,507.50"
"Sep 11, 2000",102.42,21.67,--,"4,162,507.50"
"Sep 08, 2000",104.37,22.10,--,"4,162,507.50"
"Sep 07, 2000",104.89,22.20,--,"4,162,507.50"
"Sep 06, 2000",105.86,22.41,--,"4,162,507.50"
"Sep 05, 2000",105.80,22.42,--,"4,162,507.50"
"Sep 01, 2000",108.20,22.93,--,"4,162,507.50"
"Aug 31, 2000",112.58,23.84,--,"4,162,507.50"
"Aug 30, 2000",112.58,23.84,--,"4,162,507.50"
"Aug 29, 2000",112.85,23.89,--,"4,162,507.50"
"Aug 28, 2000",112.44,23.79,--,"4,162,507.50"
"Aug 25, 2000",112.87,23.89,--,"4,162,507.50"
"Aug 24, 2000",113.54,24.03,0.21,"4,162,507.50"
"Aug 23, 2000",114.54,24.45,--,"4,162,507.50"
"Aug 22, 2000",114.48,24.47,--,"4,162,507.50"
"Aug 21, 2000",114.96,24.57,--,"4,162,507.50"
"Aug 18, 2000",116.50,24.90,--,"4,162,507.50"
"Aug 17, 2000",117.06,25.00,--,"4,162,507.50"
"Aug 16, 2000",115.06,24.59,--,"4,162,507.50"
"Aug 15, 2000",114.44,24.46,--,"4,162,507.50"
"Aug 14, 2000",113.34,24.23,--,"4,162,507.50"
"Aug 11, 2000",113.37,24.24,--,"4,162,507.50"
"Aug 10, 2000",114.61,24.50,--,"4,162,507.50"
"Aug 09, 2000",116.16,24.84,--,"4,162,507.50"
"Aug 08, 2000",117.11,25.04,--,"4,162,507.50"
"Aug 07, 2000",115.47,24.70,--,"4,162,507.50"
"Aug 04, 2000",115.89,24.78,--,"4,181,257.50"
"Aug 03, 2000",115.49,24.69,--,"4,181,257.50"
"Aug 02, 2000",114.44,24.48,--,"4,181,257.50"
"Aug 01, 2000",114.65,24.52,--,"4,181,257.50"
"Jul 31, 2000",113.57,24.29,--,"4,181,257.50"
"Jul 28, 2000",113.66,24.31,--,"4,181,257.50"
"Jul 27, 2000",115.10,24.61,--,"4,181,257.50"
"Jul 26, 2000",116.16,24.82,--,"4,181,257.50"
"Jul 25, 2000",116.91,24.99,--,"4,181,257.50"
"Jul 24, 2000",117.15,25.05,--,"4,181,257.50"
"Jul 21, 2000",118.44,25.31,--,"4,181,257.50"
"Jul 20, 2000",118.97,25.42,--,"4,181,257.50"
"Jul 19, 2000",120.53,25.75,--,"4,181,257.50"
"Jul 18, 2000",119.84,25.59,--,"4,181,257.50"
"Jul 17, 2000",121.06,25.84,--,"4,181,257.50"
"Jul 14, 2000",122.32,26.14,--,"4,181,257.50"
"Jul 13, 2000",123.25,26.29,--,"4,181,257.50"
"Jul 12, 2000",122.93,26.24,--,"4,181,257.50"
"Jul 11, 2000",120.86,25.81,--,"4,181,257.50"
"Jul 10, 2000",119.65,25.56,--,"4,181,257.50"
"Jul 07, 2000",117.04,25.02,--,"4,181,257.50"
"Jul 06, 2000",116.55,24.90,--,"4,181,257.50"
"Jul 05, 2000",116.90,24.97,--,"4,181,257.50"
"Jul 03, 2000",113.49,24.25,--,"4,181,257.50"
"Jun 30, 2000",119.02,25.42,--,"4,181,257.50"
"Jun 29, 2000",118.64,25.35,--,"4,181,257.50"
"Jun 28, 2000",120.90,25.83,--,"4,181,257.50"
"Jun 27, 2000",117.33,25.05,--,"4,181,257.50"
"Jun 26, 2000",115.32,24.61,--,"4,181,257.50"
"Jun 23, 2000",116.74,24.92,--,"4,181,257.50"
"Jun 22, 2000",118.12,25.22,--,"4,181,257.50"
"Jun 21, 2000",120.08,25.63,--,"4,181,257.50"
"Jun 20, 2000",116.51,24.86,--,"4,181,257.50"
"Jun 19, 2000",116.76,24.90,--,"4,181,257.50"
"Jun 16, 2000",120.33,25.67,--,"4,181,257.50"
"Jun 15, 2000",124.19,26.47,--,"4,181,257.50"
"Jun 14, 2000",124.18,26.47,--,"4,181,257.50"
"Jun 13, 2000",124.87,26.63,--,"4,181,257.50"
"Jun 12, 2000",123.91,26.42,--,"4,181,257.50"
"Jun 09, 2000",124.33,26.50,--,"4,181,257.50"
"Jun 08, 2000",121.61,25.92,--,"4,256,257.50"
"Jun 07, 2000",123.66,26.35,--,"4,256,257.50"
"Jun 06, 2000",126.84,27.02,--,"4,256,257.50"
"Jun 05, 2000",128.19,27.31,--,"4,256,257.50"
"Jun 02, 2000",129.55,27.58,--,"4,256,257.50"
"Jun 01, 2000",131.72,28.03,--,"4,256,257.50"
"May 31, 2000",132.93,28.27,--,"4,256,257.50"
"May 30, 2000",130.80,27.85,--,"4,256,257.50"
"May 26, 2000",127.64,27.19,--,"4,256,257.50"
"May 25, 2000",129.58,27.58,--,"4,256,257.50"
"May 24, 2000",130.34,27.74,--,"4,256,257.50"
"May 23, 2000",132.10,28.11,--,"4,256,257.50"
"May 22, 2000",134.91,28.68,--,"4,256,257.50"
"May 19, 2000",137.60,29.27,--,"4,256,257.50"
"May 18, 2000",133.08,28.33,--,"4,256,257.50"
"May 17, 2000",133.08,28.33,--,"4,256,257.50"
"May 16, 2000",132.07,28.13,--,"4,256,257.50"
"May 15, 2000",130.97,27.88,--,"4,256,257.50"
"May 12, 2000",130.99,27.86,--,"4,256,257.50"
"May 11, 2000",131.95,28.08,--,"4,256,257.50"
"May 10, 2000",134.41,28.59,--,"4,256,257.50"
"May 09, 2000",133.99,28.51,--,"4,256,257.50"
"May 08, 2000",133.88,28.49,--,"4,256,257.50"
"May 05, 2000",133.19,28.35,--,"4,256,257.50"
"May 04, 2000",130.32,27.73,--,"4,256,257.50"
"May 03, 2000",130.14,27.69,--,"4,256,257.50"
"May 02, 2000",129.27,27.51,--,"4,256,257.50"
"May 01, 2000",128.93,27.44,--,"4,256,257.50"
"Apr 28, 2000",128.93,27.44,--,"4,256,257.50"
"Apr 27, 2000",129.54,27.59,--,"4,256,257.50"
"Apr 26, 2000",128.59,27.38,--,"4,256,257.50"
"Apr 25, 2000",126.98,27.05,--,"4,256,257.50"
"Apr 24, 2000",126.27,26.90,--,"4,256,257.50"
"Apr 20, 2000",127.59,27.18,--,"4,256,257.50"
"Apr 19, 2000",127.95,27.25,--,"4,256,257.50"
"Apr 18, 2000",125.58,26.75,--,"4,256,257.50"
"Apr 17, 2000",124.36,26.47,--,"4,256,257.50"
"Apr 14, 2000",132.77,28.22,--,"4,256,257.50"
"Apr 13, 2000",133.12,28.30,--,"4,256,257.50"
"Apr 12, 2000",134.16,28.50,--,"4,256,257.50"
"Apr 11, 2000",133.00,28.25,--,"4,256,257.50"
"Apr 10, 2000",134.55,28.58,--,"4,256,257.50"
"Apr 07, 2000",135.64,28.82,--,"4,256,257.50"
"Apr 06, 2000",136.51,29.00,--,"4,256,257.50"
"Apr 05, 2000",136.51,29.00,--,"4,256,257.50"
"Apr 04, 2000",137.50,29.17,--,"4,256,257.50"
"Apr 03, 2000",138.07,29.24,--,"4,256,257.50"
"Mar 31, 2000",139.74,29.57,--,"4,256,257.50"
"Mar 30, 2000",139.53,29.53,--,"4,256,257.50"
"Mar 29, 2000",141.56,29.95,--,"4,256,257.50"
"Mar 28, 2000",141.21,29.89,--,"4,256,257.50"
"Mar 27, 2000",142.29,30.17,--,"4,256,257.50"
"Mar 24, 2000",139.36,29.65,--,"4,256,257.50"
"Mar 23, 2000",139.52,29.64,--,"4,256,257.50"
"Mar 22, 2000",136.05,28.99,--,"4,256,257.50"
"Mar 21, 2000",134.46,28.73,--,"4,256,257.50"
"Mar 20, 2000",132.85,28.38,--,"4,256,257.50"
"Mar 17, 2000",133.70,28.54,--,"4,256,257.50"
"Mar 16, 2000",132.04,28.22,--,"4,256,257.50"
"Mar 15, 2000",132.04,28.22,--,"4,256,257.50"
"Mar 14, 2000",133.69,28.56,--,"4,256,257.50"
"Mar 13, 2000",134.16,28.66,--,"4,256,257.50"
"Mar 10, 2000",135.79,28.98,--,"4,256,257.50"
"Mar 09, 2000",132.32,28.16,--,"4,256,257.50"
"Mar 08, 2000",133.56,28.39,--,"4,256,257.50"
"Mar 07, 2000",133.19,28.34,--,"4,256,257.50"
"Mar 06, 2000",134.88,28.67,--,"4,256,257.50"
"Mar 03, 2000",135.74,28.85,--,"4,256,257.50"
"Mar 02, 2000",135.28,28.76,--,"4,256,257.50"
"Mar 01, 2000",139.25,29.58,--,"4,256,257.50"
"Feb 29, 2000",140.96,29.92,--,"4,256,257.50"
"Feb 28, 2000",140.72,29.86,--,"4,256,257.50"
"Feb 25, 2000",143.74,30.50,--,"4,256,257.50"
"Feb 24, 2000",144.75,30.67,--,"4,256,257.50"
"Feb 23, 2000",144.60,30.69,--,"4,256,257.50"
"Feb 22, 2000",143.64,30.45,--,"4,256,257.50"
"Feb 18, 2000",145.56,30.83,--,"4,256,257.50"
"Feb 17, 2000",144.40,30.52,--,"4,256,257.50"
"Feb 16, 2000",143.48,30.35,--,"4,256,257.50"
"Feb 15, 2000",143.04,30.26,--,"4,256,257.50"
"Feb 14, 2000",144.12,30.55,--,"4,256,257.50"
"Feb 11, 2000",144.12,30.55,--,"4,256,257.50"
"Feb 10, 2000",143.61,30.41,--,"4,256,257.50"
"Feb 09, 2000",142.60,30.14,--,"4,256,257.50"
"Feb 08, 2000",140.56,29.63,--,"4,256,257.50"
"Feb 07, 2000",137.35,28.91,--,"4,256,257.50"
"Feb 04, 2000",137.35,28.91,--,"4,256,257.50"
"Feb 03, 2000",137.35,28.91,--,"4,256,257.50"
"Feb 02, 2000",134.78,28.37,--,"4,256,257.50"
"Feb 01, 2000",131.28,27.67,--,"4,256,257.50"
"Jan 31, 2000",131.28,27.68,--,"4,256,257.50"
"Jan 28, 2000",133.95,28.18,--,"4,256,257.50"
"Jan 27, 2000",134.17,28.22,--,"4,256,257.50"
"Jan 26, 2000",134.41,28.26,--,"4,256,257.50"
"Jan 25, 2000",135.72,28.51,--,"4,256,257.50"
"Jan 24, 2000",136.28,28.62,--,"4,256,257.50"
"Jan 21, 2000",136.22,28.58,--,"4,256,257.50"
"Jan 20, 2000",136.28,28.58,--,"4,256,257.50"
"Jan 19, 2000",133.54,28.05,--,"4,256,257.50"
"Jan 18, 2000",136.11,28.65,--,"4,256,257.50"
"Jan 14, 2000",132.88,28.02,--,"4,256,257.50"
"Jan 13, 2000",127.17,26.88,--,"4,256,257.50"
"Jan 12, 2000",124.01,26.19,--,"4,256,257.50"
"Jan 11, 2000",120.06,25.37,--,"4,256,257.50"
"Jan 10, 2000",115.52,24.42,--,"4,256,257.50"
"Jan 07, 2000",115.52,24.42,--,"4,256,257.50"
"Jan 06, 2000",115.51,24.42,--,"4,256,257.50"
"Jan 05, 2000",116.06,24.36,--,"4,256,257.50"
"Jan 04, 2000",117.62,24.87,--,"4,256,257.50"
"Jan 03, 2000",117.75,24.90,--,"4,256,257.50"
"Dec 31, 1999",114.28,24.25,--,"4,256,257.50"
"Dec 30, 1999",114.26,24.25,--,"4,256,257.50"
"Dec 29, 1999",113.59,24.12,--,"4,256,257.50"
"Dec 28, 1999",112.65,23.94,--,"4,256,257.50"
"Dec 27, 1999",110.84,23.57,--,"4,256,257.50"
"Dec 23, 1999",110.19,23.42,--,"4,256,257.50"
"Dec 22, 1999",111.08,23.61,--,"4,256,257.50"
"Dec 21, 1999",111.32,23.69,--,"4,256,257.50"
"Dec 20, 1999",110.73,23.57,--,"4,256,257.50"
"Dec 17, 1999",109.51,23.34,--,"4,256,257.50"
"Dec 16, 1999",107.74,22.91,--,"4,256,257.50"
"Dec 15, 1999",107.65,22.93,--,"4,256,257.50"
"Dec 14, 1999",107.99,22.98,--,"4,256,257.50"
"Dec 13, 1999",107.74,22.94,--,"4,256,257.50"
"Dec 10, 1999",104.28,22.18,--,"4,256,257.50"
"Dec 09, 1999",103.01,21.91,--,"4,256,257.50"
"Dec 08, 1999",101.97,21.70,--,"4,256,257.50"
"Dec 07, 1999",101.92,21.66,--,"4,256,257.50"
"Dec 06, 1999",101.08,21.48,--,"4,256,257.50"
"Dec 03, 1999",100.93,21.47,--,"4,256,257.50"
"Dec 02, 1999",102.30,21.75,--,"4,256,257.50"
"Dec 01, 1999",102.37,21.74,--,"4,256,257.50"
"Nov 30, 1999",102.71,21.84,--,"4,256,257.50"
"Nov 29, 1999",104.39,22.15,--,"4,256,257.50"
"Nov 26, 1999",104.39,22.15,--,"4,256,257.50"
"Nov 24, 1999",103.93,22.04,--,"4,256,257.50"
"Nov 23, 1999",103.89,22.02,--,"4,256,257.50"
"Nov 22, 1999",103.90,22.05,--,"4,256,257.50"
"Nov 19, 1999",102.77,21.83,--,"4,256,257.50"
"Nov 18, 1999",101.21,21.55,--,"4,256,257.50"
"Nov 17, 1999",100.77,21.49,--,"4,256,257.50"
"Nov 16, 1999",100.53,21.44,--,"4,256,257.50"
"Nov 15, 1999",102.17,21.75,--,"4,256,257.50"
"Nov 12, 1999",100.76,21.47,--,"4,256,257.50"
"Nov 11, 1999",100.94,21.50,--,"4,256,257.50"
"Nov 10, 1999",101.36,21.56,--,"4,256,257.50"
"Nov 09, 1999",98.94,21.09,--,"4,256,257.50"
"Nov 08, 1999",100.20,21.34,--,"4,256,257.50"
"Nov 05, 1999",100.19,21.35,--,"4,256,257.50"
"Nov 04, 1999",100.87,21.47,--,"4,256,257.50"
"Nov 03, 1999",101.58,21.62,--,"4,256,257.50"
"Nov 02, 1999",100.89,21.47,--,"4,256,257.50"
"Nov 01, 1999",101.90,21.66,--,"4,256,257.50"
"Oct 29, 1999",103.89,22.07,--,"4,256,257.50"
"Oct 28, 1999",105.06,22.27,--,"4,256,257.50"
"Oct 27, 1999",103.07,21.86,--,"4,256,257.50"
"Oct 26, 1999",102.67,21.77,--,"4,256,257.50"
"Oct 25, 1999",103.50,21.93,--,"4,256,257.50"
"Oct 22, 1999",103.10,21.85,--,"4,256,257.50"
"Oct 21, 1999",103.00,21.81,--,"4,256,257.50"
"Oct 20, 1999",102.66,21.73,--,"4,256,257.50"
"Oct 19, 1999",102.95,21.76,--,"4,256,257.50"
"Oct 18, 1999",99.40,21.07,--,"4,256,257.50"
"Oct 15, 1999",100.06,21.17,--,"4,256,257.50"
"Oct 14, 1999",102.68,21.67,--,"4,256,257.50"
"Oct 13, 1999",102.24,21.61,--,"4,256,257.50"
"Oct 12, 1999",103.43,21.84,--,"4,256,257.50"
"Oct 11, 1999",103.67,21.89,--,"4,256,257.50"
"Oct 08, 1999",102.97,21.78,--,"4,256,257.50"
"Oct 07, 1999",101.44,21.50,--,"4,256,257.50"
"Oct 06, 1999",98.22,20.83,--,"4,256,257.50"
"Oct 05, 1999",97.33,20.64,--,"4,256,257.50"
"Oct 04, 1999",92.91,19.76,--,"4,256,257.50"
"Oct 01, 1999",92.66,19.69,--,"4,256,257.50"
"Sep 30, 1999",91.79,19.53,--,"4,256,257.50"
"Sep 29, 1999",93.17,19.84,--,"4,256,257.50"
"Sep 28, 1999",92.37,19.66,--,"4,256,257.50"
"Sep 27, 1999",92.44,19.69,--,"4,256,257.50"
"Sep 24, 1999",94.75,20.15,--,"4,256,257.50"
"Sep 23, 1999",96.79,20.58,--,"4,256,257.50"
"Sep 22, 1999",99.26,21.08,--,"4,256,257.50"
"Sep 21, 1999",101.82,21.57,--,"4,256,257.50"
"Sep 20, 1999",97.21,20.71,--,"4,256,257.50"
"Sep 17, 1999",97.53,20.78,--,"4,256,257.50"
"Sep 16, 1999",97.22,20.70,--,"4,256,257.50"
"Sep 15, 1999",98.26,20.94,--,"4,256,257.50"
"Sep 14, 1999",99.95,21.31,--,"4,256,257.50"
"Sep 13, 1999",101.55,21.63,--,"4,256,257.50"
"Sep 10, 1999",101.55,21.62,--,"4,256,257.50"
"Sep 09, 1999",103.46,21.98,--,"4,256,257.50"
"Sep 08, 1999",104.03,22.08,--,"4,256,257.50"
"Sep 07, 1999",103.63,22.02,--,"4,256,257.50"
"Sep 03, 1999",102.82,21.83,--,"4,256,257.50"
"Sep 02, 1999",101.06,21.46,--,"4,256,257.50"
"Sep 01, 1999",103.88,22.05,--,"4,256,257.50"
"Aug 31, 1999",105.40,22.38,--,"4,256,257.50"
"Aug 30, 1999",105.39,22.38,--,"4,256,257.50"
"Aug 27, 1999",89.46,22.33,--,"4,256,257.50"
"Aug 26, 1999",88.93,22.17,--,"4,256,257.50"
"Aug 25, 1999",89.71,22.35,0.07,"4,256,257.50"
"Aug 24, 1999",90.62,22.62,--,"4,256,257.50"
"Aug 23, 1999",90.05,22.40,--,"4,256,257.50"
"Aug 20, 1999",89.07,22.21,--,"4,256,257.50"
"Aug 19, 1999",88.14,22.03,--,"4,256,257.50"
"Aug 18, 1999",88.74,22.19,--,"4,256,257.50"
"Aug 17, 1999",87.37,21.88,--,"4,256,257.50"
"Aug 16, 1999",89.62,22.42,--,"4,256,257.50"
"Aug 13, 1999",90.99,22.76,--,"4,256,257.50"
"Aug 12, 1999",84.86,21.29,--,"4,256,257.50"
"Aug 11, 1999",79.26,19.89,--,"4,256,257.50"
"Aug 10, 1999",79.04,19.85,--,"4,256,257.50"
"Aug 09, 1999",77.19,19.40,--,"4,256,257.50"
"Aug 06, 1999",81.70,20.50,--,"4,256,257.50"
"Aug 05, 1999",82.19,20.62,--,"4,256,257.50"
"Aug 04, 1999",83.75,21.01,--,"4,256,257.50"
